CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_ex_C4,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_O2_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_O2_2_1,LeafAC_C4_C4_1,LeafAC_C4_O2_1,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_C4_0_O2_1_/_2_/_0_0,FC_4_O2_0_/_/_0,FC_5_C4_0_/_/_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_N3_0_H1_1_/_1_/_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_11_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_12_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_13_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_14_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_15_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_17_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2
Poly(1_4-butadiene),0,0,0.0952381,0.111111,0.171311,0,0.176471,0,0,0,0.157895,0,0,0.111111,0,0.105263,0,0,0,0,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0.214286,1,0,0,0,0,0,0,0,0,0,0,0,0.125,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(hexamethyleneAzelamide),0.714286,0,0.714286,0.833333,0.24189,0,0.823529,0.285714,0,0,0.842105,0,0,0,0,0.684211,1,0,0,0.5,0.733333,0,0.333333,0,0,1,0,0,0,0,1,0,0.785714,0,1,0,0,1,0,0,1,0,0,0,1,0.8125,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly(ethylene-2_6-naphthalenedicarboxylate),0.666667,0.666667,0.666667,0.277778,0.928864,0,0.529412,0.857143,0,0,0.578947,0.666667,0,0.555556,0,0.631579,0,1,0,0.5,0.133333,0.25,0.666667,0.666667,0,0,0.5,1,0,0,0,0.5,0.0714286,0,0,0,0,0,0.5,1,0,0.5,0,0,1,0.125,0.5,1,1,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(vinylP-isopropylBenzoate),0.47619,0.333333,0.380952,0,0.495023,0,0.294118,0.571429,0,0,0.368421,0.333333,0,0.333333,0,0.368421,0,0.5,0.75,0.25,0.0666667,0.25,0.666667,0.333333,0,0,0,0.333333,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0.666667,0,0.5,0.0625,0.416667,0.5,0.5,0.166667,0,0,0,0,0,0,1,0,0,0,0,0,0.5,1,0,0,0
Poly(methylAcrylate),0.0952381,0,0.047619,0,0.584016,0,0,0.285714,0,0.5,0,0.166667,0,0,0,0.0526316,0,0,0.25,0.5,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.0625,0.0833333,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(n-butylMethacrylate),0.285714,0,0.190476,0,0.292008,0,0.176471,0.142857,1,0.5,0.157895,0.166667,0,0,0,0.157895,0,0.5,0.75,0.25,0.0666667,0,0,0,0.666667,0,0.25,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0,0.666667,0,0.5,0.125,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(dimethylItaconate),0.333333,0,0.142857,0,0.667447,0,0.0588235,0.285714,1,1,0.0526316,0,1,0,0,0.157895,0,0,0.5,1,0,0,0.166667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.125,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(1-butene),0,0,0,0,0,0,0,0.142857,0,0,0.0526316,0,0,0,0,0,0,0,0.5,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0
poly(etherEtherKetone),0.857143,1,0.904762,0.222222,0.888621,0,0.764706,1,0,0,0.736842,1,0,1,0,0.894737,0,1,0,0.25,0.2,0.75,1,1,0,0,0,0.666667,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly[oxy(p-phenylene)],0.142857,0.333333,0.238095,0,0.863636,0,0.235294,0.285714,0,0,0.210526,0.333333,0,0.333333,0,0.210526,0,0.5,0,0,0.0666667,0.25,0.333333,0.333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.333333,0,0.5,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(isobutylMethacrylate),0.285714,0,0.142857,0,0.292008,0,0.117647,0.142857,1,0.5,0.105263,0.166667,0,0,0,0.105263,0,0.5,1,0.25,0,0,0,0,0.666667,0,0.25,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0.0625,0,0.5,0.5,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(hexamethyleneSebacamide),0.761905,0,0.761905,0.888889,0.227377,0,0.882353,0.285714,0,0,0.894737,0,0,0,0,0.736842,1,0,0,0.5,0.8,0,0.333333,0,0,1,0,0,0,0,1,0,0.857143,0,1,0,0,1,0,0,1,0,0,0,1,0.875,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
