CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_ex_C4,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_4_N3_2_1,C4_4_O2_2_1,N3_2_N3_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_N3_3_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_N3_3_1,link_edge_C4_3_O2_2_1,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_O2_1,LeafAC_N3_C4_3,LeafAC_O2_C4_1,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_4_O2_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_N3_0_/_/_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_N3_0_H1_1_/_1_/_0_0,FC_10_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_11_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_13_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_14_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_15_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_17_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_18_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_21_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_22_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_24_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_25_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_26_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_27_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_28_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_29_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_30_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_31_C4_0_C4_1_N3_2_/_1_3_/_0_0_0,FC_32_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_33_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_/_1_1_1_1_1_3_/_0_0_0_0_0_0_0,FC_34_O2_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_35_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_36_C4_0_H1_1_H1_1_C4_1_H1_2_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_N3_3,CS_connecting_vertices_O2_2
Poly(hexamethyleneIsophthalamide),0.259259,0.1,0.25,0.45,0.418006,0,0.297297,0.2,0,0,0.351351,0.1,0,0.107143,0,0.230769,0.333333,0,0,0,0.333333,0.375,0.0833333,0.142857,0.2,0,1,0,0,0,0.181818,0,0,0.333333,0,0,0,0,0,0,0.3125,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.333333,0.117647,0.1,0.333333,0,0.333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0
ResinF,0.425926,0.2,0.392857,0.6,0.556467,0,0.432432,0.35,0,0,0.513514,0.2,0,0.214286,0,0.346154,0.333333,0.5,0,0,0.5,0.25,0.166667,0.571429,0.4,0,0,0,0,0.666667,0,0,0,0.666667,0,0,0.333333,0,0,0,0.125,0,1,0,0,0,0,1,0,0,1,0,0.333333,0,0,0,0,1,0.333333,0.235294,0.2,0.277778,0.5,0.333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(N-vinylCarbazole),0.203704,0.3,0.232143,0,0.531783,0,0.216216,0.3,0,0,0.216216,0.3,0,0.214286,0,0.230769,0.166667,0,0,0,0,0.1875,0.25,0.285714,0.2,0,0,0,0,0,0.181818,0.25,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264706,0.2,0.0555556,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly[o-biphenylenemethaneBis(4-phenyl)carbonate],0.462963,0.5,0.464286,0.2,0.711683,0,0.459459,0.45,0.5,0,0.486486,0.4,0.5,0.428571,0,0.461538,0,0.5,0,0,0.166667,0.3125,0.416667,0.428571,0.6,0,0,0,0,0,0.181818,0.25,0.666667,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0.166667,0.470588,0.45,0,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(vinylAcetate),0.037037,0,0.0178571,0,0.482315,0,0.027027,0.05,0,0.5,0,0.05,0,0,0,0,0,0.25,0.333333,0,0.166667,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0.166667,0.0294118,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0
Poly(p-n-propoxymethylStyrene),0.166667,0.1,0.160714,0,0.27054,0,0.189189,0.15,0,0.5,0.162162,0.15,0,0.107143,0,0.153846,0,0.25,0.333333,0,0,0.0625,0.0833333,0.357143,0.2,0,0,0,0,0.666667,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.147059,0.1,0.111111,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(p-vinylPyridine),0.0740741,0.1,0.107143,0,0.450161,0,0.135135,0.1,0,0,0.135135,0.1,0,0.107143,0,0.0961538,0.166667,0,0,0,0,0.0625,0.0833333,0.214286,0.1,0,0.5,0.5,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147059,0.05,0.0555556,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(oxyterephthaloyloxy-2-methyl-1_4-phenyleneisopropylidene-3-methyl-1_4-phenylene),0.462963,0.3,0.375,0.3,0.559864,0,0.297297,0.5,0.5,0,0.432432,0.3,0,0.321429,0,0.365385,0,0.5,0.666667,0,0.333333,0.1875,0.0833333,0.285714,0.8,0,0,0,0,0,0.363636,0,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.666667,0.666667,0,0,0,0,0.333333,0.294118,0.3,0,0.5,0.333333,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(vinylN-butylEther),0.0555556,0,0.0535714,0,0.115079,0,0.0810811,0.05,0,0.5,0.0540541,0.05,0,0,0,0.0384615,0,0.25,0.333333,0,0,0.0625,0,0.142857,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.0294118,0,0.111111,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(2-t-butyl-1_4-butadiene),0.0740741,0,0.0357143,0.1,0.0643087,0,0.0540541,0.05,0,0,0.0810811,0,0,0.0357143,0,0.0384615,0,0,0.666667,0,0,0.125,0,0.0714286,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.0294118,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(quinoxaline-2_7-diyloxyquinoxaline-7_2-diyl-1_4-phenylene),0.425926,0.5,0.446429,0.1,0.821172,0,0.432432,0.5,0,0,0.432432,0.5,0,0.464286,0,0.384615,0.666667,0.25,0,0,0,0.0625,0.25,0.714286,0.4,0,0,1,0,0,0.181818,0.5,0,0.666667,0.5,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333,0,0,0,0,0,0,0.352941,0.5,0,0.25,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(ethyleneSebacate),0.222222,0,0.214286,0.6,0.321543,0,0.297297,0.1,0,0,0.351351,0,0,0,0,0.192308,0,0.5,0,0,0.333333,0.5,0,0.142857,0,0,0,0,0,0.666667,0,0,0,0,0,0,0.333333,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0.333333,0,0,0,0,0,0.333333,0,0,0.555556,0.5,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Polytricyclic1,0.425926,0.5,0.446429,0.1,0.821172,0,0.432432,0.5,0,0,0.432432,0.5,0,0.464286,0,0.384615,0.666667,0.25,0,0,0,0.125,0.166667,0.571429,0.6,0,0,1,0,0,0.272727,0.25,0,0.666667,0.5,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333,0,0,0,0,0,0,0.352941,0.5,0,0.25,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(oxycarbonyl-1_5-dimethylpentamethylene),0.111111,0,0.0892857,0.25,0.241158,0,0.0810811,0.15,0,0,0.162162,0,0,0,0,0.0769231,0,0.25,0.333333,0,0.166667,0.125,0,0.142857,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0.333333,0,0,0,0.125,0,0.5,0,0,0,0,0,0.25,0,0,0,0.333333,0.333333,0,0,0,0,0.166667,0,0,0.166667,0.25,0.166667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(p-t-butylStyrene),0.148148,0.1,0.107143,0,0.202113,0,0.108108,0.15,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0.666667,0,0,0.0625,0.0833333,0.285714,0.2,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.147059,0.05,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Polyetherimide3,0.722222,0.7,0.660714,0.3,0.889779,0,0.540541,0.9,0,0,0.648649,0.7,0,0.535714,0,0.615385,0.333333,0.75,0,0,0.666667,0.25,0.333333,0.714286,1,0,0,0,0,0,0.454545,0.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.666667,0.529412,0.6,0,0.75,0.666667,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(m-xylyleneAdipamide),0.259259,0.1,0.25,0.45,0.418006,0,0.297297,0.2,0,0,0.351351,0.1,0,0.107143,0,0.230769,0.333333,0,0,0,0.333333,0.25,0.0833333,0.428571,0.2,0,1,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.1875,0,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0.333333,0.117647,0.1,0.333333,0,0.333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(N-vinylPyrrolidone),0.0740741,0.1,0.0892857,0,0.359372,0,0.0810811,0.15,0,0,0.108108,0.1,0,0,0,0.0769231,0.166667,0,0,0,0.166667,0.125,0,0.214286,0,0,0,0,0.5,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0.0294118,0,0.222222,0,0.166667,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(p-isopropylStyrene),0.12963,0.1,0.107143,0,0.226367,0,0.108108,0.15,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0.5,0,0,0.0625,0.0833333,0.285714,0.2,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.147059,0.05,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Polyphenolphthalein3,0.851852,0.8,0.785714,0.4,0.809942,0,0.72973,0.8,1,0,0.837838,0.6,1,0.642857,0,0.769231,0,1,0,0,0.666667,0.375,0.666667,0.857143,0.8,0,0,0,0,0,0.363636,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.666667,0,0,0,0,0,0.666667,0.705882,0.7,0,1,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(vinylIsobutyral),0.111111,0.1,0.0892857,0,0.241158,0,0.0810811,0.15,0,0,0.108108,0.1,0,0,0,0.0576923,0,0.5,0.5,0,0,0,0,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.0588235,0,0.111111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Polyisoprene,0.0185185,0,0.0357143,0.1,0.10883,0,0.0540541,0.05,0,0,0.0810811,0,0,0.0357143,0,0.0384615,0,0,0.166667,0,0,0.125,0,0.0714286,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,1,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.0294118,0,0.111111,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(3_4-dimethylStyrene),0.111111,0.1,0.107143,0,0.257235,0,0.0810811,0.2,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0.333333,0,0,0,0.0833333,0.357143,0.1,0,0,0,0,0,0.0909091,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.117647,0.05,0.0555556,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(vinylN-decylEther),0.166667,0,0.160714,0,0.0590945,0,0.243243,0.05,0,0.5,0.216216,0.05,0,0,0,0.153846,0,0.25,0.333333,0,0,0.4375,0,0.142857,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.0294118,0,0.444444,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(ethylene-1_5-naphthalenedicarboxylate),0.259259,0.2,0.25,0.25,0.767111,0,0.243243,0.3,0,0,0.297297,0.2,0,0.178571,0,0.230769,0,0.5,0,0,0.333333,0.1875,0.166667,0.142857,0.2,0,0,0,0,0.666667,0.363636,0.25,0,0,0,0,0.333333,0,0,0,0.0625,0,0,0,0,0,0,1,0.5,0,0,0,0.333333,0,0,0,0,0,0.333333,0.176471,0.2,0.111111,0.5,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1
Poly(t-butylMethacrylate),0.111111,0,0.0357143,0,0.241158,0,0.027027,0.05,0.5,0.5,0.027027,0.05,0,0,0,0.0192308,0,0.25,0.833333,0,0.166667,0,0,0,0,1,0,0,0,0,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0.166667,0,0,0.0555556,0,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,1,0,0,0
Polyphenolphthalein2,0.666667,0.6,0.625,0.35,0.784566,0,0.594595,0.65,0.5,0,0.675676,0.5,0.5,0.535714,0,0.615385,0,0.75,0,0,0.5,0.3125,0.5,0.714286,0.8,0,0,0,0,0,0.363636,0.25,0.5,0,0,0,0.833333,0,0.5,0,0,0,0,0,0,0,0,0,0.75,0.5,0,0,0.666667,0,0,0,0,0,0.5,0.588235,0.55,0,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Polyquinoline1,0.648148,0.7,0.660714,0.2,0.674714,0,0.648649,0.7,0,0,0.648649,0.7,0,0.678571,0,0.653846,0.333333,0.25,0,0,0,0.3125,0.583333,0.857143,0.8,0,0,0,0,0,0.545455,0.5,0,0.333333,0.5,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333,0,0,0,0,0,0,0.647059,0.7,0,0.25,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(3-hexoxypropyleneOxide),0.12963,0,0.125,0.05,0.150793,0,0.189189,0.05,0,0.5,0.162162,0.05,0,0,0,0.0961538,0,0.5,0.333333,0,0,0.1875,0,0.142857,0,0,0,0,0,1,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0.166667,0.166667,0,0,0,0,0,0.0294118,0,0.277778,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1
Polyquinoline3,0.777778,0.8,0.785714,0.3,0.6806,0,0.783784,0.8,0,0,0.783784,0.8,0,0.785714,0,0.769231,0.333333,0.5,0,0,0,0.375,0.666667,1,1,0,0,0,0,0,0.545455,0.5,0,0.333333,0.5,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.666667,0,0,0,0,0,0,0.764706,0.8,0,0.5,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(m-hydroxymethylStyrene),0.111111,0.1,0.107143,0,0.392283,0,0.108108,0.15,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0.166667,0,0.166667,0.0625,0.0833333,0.285714,0.2,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.147059,0.05,0.0555556,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(9-aminononanoicAcid),0.12963,0,0.142857,0.4,0.167662,0,0.216216,0.05,0,0,0.243243,0,0,0,0,0.134615,0.166667,0,0,0,0.166667,0.4375,0,0.0714286,0,0,0.5,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0.4375,0,0.25,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0.166667,0,0,0.444444,0,0.166667,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0
Poly(12-aminododecanoicAcid),0.185185,0,0.196429,0.55,0.126879,0,0.297297,0.05,0,0,0.324324,0,0,0,0,0.192308,0.166667,0,0,0,0.166667,0.625,0,0.0714286,0,0,0.5,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0.625,0,0.25,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0.166667,0,0,0.611111,0,0.166667,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0
Poly(vinylN-octylEther),0.12963,0,0.125,0,0.0705321,0,0.189189,0.05,0,0.5,0.162162,0.05,0,0,0,0.115385,0,0.25,0.333333,0,0,0.3125,0,0.142857,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.0294118,0,0.333333,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(vinylCyclopentane),0.0555556,0.1,0.0892857,0,0.0744627,0,0.108108,0.1,0,0,0.108108,0.1,0,0,0,0.0961538,0,0,0,0,0,0.1875,0,0.285714,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0.277778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(o-methylStyrene),0.0925926,0.1,0.107143,0,0.297851,0,0.108108,0.15,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0.166667,0,0,0.0625,0.166667,0.285714,0,0,0,0,0,0,0.0909091,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.147059,0.05,0.0555556,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
