CID,n,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,dg_hyd_0,dg_hyd_1,dg_hyd_2,dg_hyd_3,bd_in_2,bd_in_3,na_in_C,na_in_N,na_in_O,na_ex_C,na_ex_N,na_ex_O,C2_C2_1,C2_C2_2,C2_C2_3,C2_C3_1,C2_C3_2,C2_C4_1,C2_N2_1,C2_N2_2,C2_N3_1,C2_O2_1,C3_C3_1,C3_C3_2,C3_C4_1,C3_N2_1,C3_N2_2,C3_N3_1,C3_O2_1,C4_C4_1,C4_N3_1,C4_O2_1,N2_N2_1,N2_N2_2,N2_N3_1,O2_O2_1,FC_1_417,FC_2_373,FC_3_191,FC_4_120,FC_5_108,FC_6_70,FC_7_56,FC_8_54,FC_9_44,FC_10_41,FC_11_38,FC_12_31,FC_13_31,FC_14_23,FC_15_22,FC_16_19,FC_17_18,FC_18_17,FC_19_16,FC_20_11,FC_21_9,FC_22_9,FC_23_7,FC_24_7,FC_25_7,FC_26_7,FC_27_6,FC_28_6,FC_29_6,FC_30_6,FC_31_6,FC_32_5,FC_33_5,FC_34_5,FC_35_4,FC_36_4,FC_37_4,FC_38_4,FC_39_4,FC_40_4,FC_41_4,FC_42_4,FC_43_4,FC_44_4,FC_45_3,FC_46_3,FC_47_3,FC_48_3,FC_49_3,FC_50_3,FC_51_3,FC_52_2,FC_53_2,FC_54_2,FC_55_2,FC_56_2,FC_57_1,FC_58_1,FC_59_1,FC_60_1,FC_61_1,FC_62_1,FC_63_1,FC_64_1,FC_65_1,FC_66_1,FC_67_1,FC_68_1,FC_69_1,FC_70_1,FC_71_1,FC_72_1,FC_73_1,FC_74_1,FC_75_1,FC_76_1,FC_77_1,FC_78_1,FC_79_1,FC_80_1,FC_81_1,FC_82_1,FC_83_1,FC_84_1,FC_85_1,FC_86_1,FC_87_1,FC_88_1,FC_89_1,FC_90_1,FC_91_1,FC_92_1,FC_93_1,FC_94_1,FC_95_1,FC_96_1,FC_97_1,FC_98_1,FC_99_1,FC_100_1,FC_101_1,FC_102_1,FC_103_1,FC_104_1,FC_105_1,FC_106_1,FC_107_1,FC_108_1,FC_109_1
1549025,0.185185,0.162791,0.238083,0,0.214286,0.05,0,0.5,0.172414,0,0,0.263158,0.08,0.125,0.5,0.076923,0,0.166667,0,0.142857,0.6,0,0.083333,0.136364,0,0,0.0625,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549026,0.185185,0.162791,0.238083,0,0.214286,0.05,0,0.5,0.172414,0,0,0.263158,0.08,0.125,0.5,0.076923,0,0.166667,0,0.142857,0.6,0,0.083333,0.136364,0,0,0.0625,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549044,0.148148,0.232558,0.277792,0,0.25,0.15,0,0.25,0.206897,0.214286,0,0.263158,0.2,0.041667,0.125,0.230769,0,0.222222,0,0.285714,0.2,0,0,0,0.166667,0,0.25,0.125,0,0,0,0,0.25,0,0.2,0,0,0,0,0.153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549107,0.222222,0.209302,0.104167,0,0.25,0.1,0,0.5,0.241379,0,0,0.157895,0.16,0.208333,0.5,0.153846,0,0.25,0,0,0.6,0,0.083333,0.181818,0,0,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549108,0.222222,0.209302,0.104167,0,0.25,0.1,0,0.5,0.241379,0,0,0.157895,0.16,0.208333,0.5,0.153846,0,0.25,0,0,0.6,0,0.083333,0.181818,0,0,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549109,0.222222,0.209302,0.104167,0,0.25,0.1,0,0.5,0.241379,0,0,0.157895,0.16,0.208333,0.5,0.153846,0,0.25,0,0,0.6,0,0.083333,0.181818,0,0,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549236,0.074074,0.069767,0.416667,0,0.107143,0,0,0.5,0.034483,0,0,0.105263,0.2,0,0.125,0.076923,0,0.083333,0,0,0.3,0,0.166667,0.045455,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549237,0.074074,0.069767,0.416667,0,0.107143,0,0,0.5,0.034483,0,0,0.105263,0.2,0,0.125,0.076923,0,0.083333,0,0,0.3,0,0.166667,0.045455,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742129,0.5,0.488372,0.107542,0,0.428571,0.4,0.166667,0.25,0.586207,0.214286,0,0.421053,0.16,0.458333,1,0.230769,0,0.555556,0,0.142857,0.9,0,0.083333,0.318182,0,0,0.3125,0,0.285714,0,0,0,0,0.214286,0.6,0,0,0,0,0.076923,0,0,0.5,0,0,0,0,0.142857,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2724385,0.944444,1,0.42425,0,0.714286,1,0.5,0,1,1,0,0.684211,1,0.5,0.625,0.076923,0,1,0,1,0.5,0,0.583333,0.136364,0,0,1,0.125,0.285714,0,0,0,0.125,0.571429,0,0.625,0,0,0,1,1,0,0,0,0,0,0,0.857143,0.833333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2728270,0.37037,0.44186,0.208333,0,0.357143,0.45,0,0,0.448276,0.428571,0,0.368421,0.44,0.208333,0.125,0.384615,0,0.472222,0.333333,0,0.3,0,0.166667,0.045455,0.333333,0,0.5,0.125,0,0.25,0,0.166667,0,0.285714,0.2,0,0,0.333333,0.2,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0.5,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032576,0.37037,0.44186,0.208333,0,0.357143,0.45,0,0,0.448276,0.428571,0,0.368421,0.44,0.208333,0.125,0.384615,0,0.472222,0.333333,0,0.3,0,0.166667,0.045455,0.333333,0,0.5,0.125,0,0.25,0,0.166667,0,0.285714,0.2,0,0,0.333333,0.2,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0.5,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034034,0.37037,0.44186,0.208333,0,0.357143,0.45,0,0,0.448276,0.428571,0,0.368421,0.44,0.208333,0.125,0.384615,0,0.472222,0.333333,0,0.3,0,0.166667,0.045455,0.333333,0,0.5,0.125,0,0.25,0,0.166667,0,0.285714,0.2,0,0,0.333333,0.2,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0.5,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3036746,0.37037,0.44186,0.208333,0,0.357143,0.45,0,0,0.448276,0.428571,0,0.368421,0.44,0.208333,0.125,0.384615,0,0.472222,0.333333,0,0.3,0,0.166667,0.045455,0.333333,0,0.5,0.125,0,0.25,0,0.166667,0,0.285714,0.2,0,0,0.333333,0.2,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0.5,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5280793,0.462963,0.488372,0.057458,0,0.428571,0.4,0.166667,0.25,0.517241,0.357143,0,0.210526,0.44,0.375,0.625,0.230769,0,0.583333,0,0,0.7,0,0.083333,0.227273,0.166667,0,0.5625,0.25,0.142857,0,0,0,0,0.214286,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.333333,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5280795,0.444444,0.488372,0.059542,0,0.464286,0.35,0.166667,0.25,0.517241,0.357143,0,0.210526,0.32,0.5,0.5,0.153846,0,0.583333,0,0,0.6,0,0.083333,0.318182,0,0,0.5,0.25,0.142857,0,0,0,0,0.214286,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.333333,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5288826,0.314815,0.418605,0.277792,0,0.285714,0.45,0.166667,0,0.37931,0.428571,0.5,0.368421,0.4,0.125,0.125,0.307692,0,0.444444,0.166667,0.142857,0.1,0,0.166667,0.045455,0.333333,0,0.375,0,0.142857,0,0,0.083333,0,0.214286,0.4,0.375,0,0,0.2,0.153846,0,0,0,0,0,0,0,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5315257,0.462963,0.488372,0.057458,0,0.428571,0.4,0.166667,0.25,0.517241,0.357143,0,0.210526,0.44,0.375,0.625,0.230769,0,0.583333,0,0,0.7,0,0.083333,0.227273,0.166667,0,0.5625,0.25,0.142857,0,0,0,0,0.214286,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.333333,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5317112,0.37037,0.44186,0.208333,0,0.357143,0.45,0,0,0.448276,0.428571,0,0.368421,0.44,0.208333,0.125,0.384615,0,0.472222,0.333333,0,0.3,0,0.166667,0.045455,0.333333,0,0.5,0.125,0,0.25,0,0.166667,0,0.285714,0.2,0,0,0.333333,0.2,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0.5,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353527,0.444444,0.488372,0.059542,0,0.464286,0.35,0.166667,0.25,0.517241,0.357143,0,0.210526,0.32,0.5,0.5,0.153846,0,0.583333,0,0,0.6,0,0.083333,0.318182,0,0,0.5,0.25,0.142857,0,0,0,0,0.214286,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.333333,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
